Filename:,25FC01540_CH2_100.00mA__NAV_50.0C_00_OSA.csv
+1.56381200E-006,-5.68249486E+001
+1.56381600E-006,-5.66306093E+001
+1.56382000E-006,-5.66868268E+001
+1.56382400E-006,-5.70953024E+001
+1.56382800E-006,-5.71511586E+001
+1.56383200E-006,-5.71532458E+001
+1.56383600E-006,-5.73875842E+001
+1.56384000E-006,-5.71956564E+001
+1.56384400E-006,-5.74318690E+001
+1.56384800E-006,-5.75760913E+001
+1.56385200E-006,-5.74878071E+001
+1.56385600E-006,-5.69781599E+001
+1.56386000E-006,-5.70555022E+001
+1.56386400E-006,-5.72294215E+001
+1.56386800E-006,-5.79503654E+001
+1.56387200E-006,-5.79402166E+001
+1.56387600E-006,-5.82740204E+001
+1.56388000E-006,-5.83271800E+001
+1.56388400E-006,-5.84692311E+001
+1.56388800E-006,-5.86405470E+001
+1.56389200E-006,-5.85519740E+001
+1.56389600E-006,-5.84380319E+001
+1.56390000E-006,-5.81606095E+001
+1.56390400E-006,-5.84084652E+001
+1.56390800E-006,-5.85145042E+001
+1.56391200E-006,-5.92340014E+001
+1.56391600E-006,-5.95906085E+001
+1.56392000E-006,-5.98557324E+001
+1.56392400E-006,-5.97349128E+001
+1.56392800E-006,-5.96164971E+001
+1.56393200E-006,-5.92601335E+001
+1.56393600E-006,-5.93914563E+001
+1.56394000E-006,-5.92709766E+001
+1.56394400E-006,-5.92690111E+001
+1.56394800E-006,-5.88788916E+001
+1.56395200E-006,-5.91006085E+001
+1.56395600E-006,-5.95098657E+001
+1.56396000E-006,-6.01968124E+001
+1.56396400E-006,-6.01439328E+001
+1.56396800E-006,-6.05791614E+001
+1.56397200E-006,-5.96144448E+001
+1.56397600E-006,-5.98728908E+001
+1.56398000E-006,-6.00870954E+001
+1.56398400E-006,-5.98705099E+001
+1.56398800E-006,-6.00169388E+001
+1.56399200E-006,-5.97408784E+001
+1.56399600E-006,-5.99373021E+001
+1.56400000E-006,-6.00885663E+001
+1.56400400E-006,-6.00669296E+001
+1.56400800E-006,-6.03029484E+001
+1.56401200E-006,-6.00821830E+001
+1.56401600E-006,-5.98307768E+001
+1.56402000E-006,-5.98409260E+001
+1.56402400E-006,-5.96126661E+001
+1.56402800E-006,-5.95914156E+001
+1.56403200E-006,-5.94098026E+001
+1.56403600E-006,-5.96897373E+001
+1.56404000E-006,-5.98276350E+001
+1.56404400E-006,-5.97548892E+001
+1.56404800E-006,-5.94960289E+001
+1.56405200E-006,-5.95440801E+001
+1.56405600E-006,-5.93734669E+001
+1.56406000E-006,-5.98254993E+001
+1.56406400E-006,-5.90985243E+001
+1.56406800E-006,-5.89278904E+001
+1.56407200E-006,-5.89311096E+001
+1.56407600E-006,-5.92931208E+001
+1.56408000E-006,-5.90589320E+001
+1.56408400E-006,-5.88756227E+001
+1.56408800E-006,-5.88983774E+001
+1.56409200E-006,-5.84566014E+001
+1.56409600E-006,-5.82842647E+001
+1.56410000E-006,-5.82826892E+001
+1.56410400E-006,-5.81240759E+001
+1.56410800E-006,-5.81423060E+001
+1.56411200E-006,-5.78341396E+001
+1.56411600E-006,-5.75666596E+001
+1.56412000E-006,-5.76932175E+001
+1.56412400E-006,-5.77421257E+001
+1.56412800E-006,-5.78313208E+001
+1.56413200E-006,-5.72972798E+001
+1.56413600E-006,-5.69803309E+001
+1.56414000E-006,-5.68139875E+001
+1.56414400E-006,-5.68688761E+001
+1.56414800E-006,-5.69099972E+001
+1.56415200E-006,-5.68885723E+001
+1.56415600E-006,-5.69706992E+001
+1.56416000E-006,-5.67217931E+001
+1.56416400E-006,-5.70335208E+001
+1.56416800E-006,-5.67852861E+001
+1.56417200E-006,-5.65621364E+001
+1.56417600E-006,-5.67199391E+001
+1.56418000E-006,-5.62865585E+001
+1.56418400E-006,-5.61175976E+001
+1.56418800E-006,-5.65017802E+001
+1.56419200E-006,-5.65676261E+001
+1.56419600E-006,-5.67811853E+001
+1.56420000E-006,-5.68276617E+001
+1.56420400E-006,-5.69015113E+001
+1.56420800E-006,-5.69280060E+001
+1.56421200E-006,-5.69842341E+001
+1.56421600E-006,-5.71631830E+001
+1.56422000E-006,-5.70622399E+001
+1.56422400E-006,-5.70493000E+001
+1.56422800E-006,-5.69463683E+001
+1.56423200E-006,-5.74528333E+001
+1.56423600E-006,-5.80397222E+001
+1.56424000E-006,-5.84281857E+001
+1.56424400E-006,-5.85366226E+001
+1.56424800E-006,-5.85845491E+001
+1.56425200E-006,-5.85128975E+001
+1.56425600E-006,-5.84756599E+001
+1.56426000E-006,-5.86086470E+001
+1.56426400E-006,-5.83985548E+001
+1.56426800E-006,-5.85234633E+001
+1.56427200E-006,-5.87771936E+001
+1.56427600E-006,-5.90578107E+001
+1.56428000E-006,-5.92592126E+001
+1.56428400E-006,-5.95683902E+001
+1.56428800E-006,-5.93312234E+001
+1.56429200E-006,-5.93525298E+001
+1.56429600E-006,-5.93771937E+001
+1.56430000E-006,-5.95065750E+001
+1.56430400E-006,-5.94539053E+001
+1.56430800E-006,-5.99341751E+001
+1.56431200E-006,-5.97523054E+001
+1.56431600E-006,-5.98013591E+001
+1.56432000E-006,-6.03691019E+001
+1.56432400E-006,-6.00976309E+001
+1.56432800E-006,-5.97003906E+001
+1.56433200E-006,-5.99420712E+001
+1.56433600E-006,-6.01204991E+001
+1.56434000E-006,-6.01409517E+001
+1.56434400E-006,-6.03131198E+001
+1.56434800E-006,-5.99988184E+001
+1.56435200E-006,-6.03028217E+001
+1.56435600E-006,-5.99263977E+001
+1.56436000E-006,-6.02908115E+001
+1.56436400E-006,-6.03874709E+001
+1.56436800E-006,-6.03446205E+001
+1.56437200E-006,-6.01259913E+001
+1.56437600E-006,-5.99594495E+001
+1.56438000E-006,-6.01180878E+001
+1.56438400E-006,-6.01565677E+001
+1.56438800E-006,-5.99753704E+001
+1.56439200E-006,-5.97452002E+001
+1.56439600E-006,-6.02062479E+001
+1.56440000E-006,-6.02401226E+001
+1.56440400E-006,-6.03495578E+001
+1.56440800E-006,-6.01588522E+001
+1.56441200E-006,-5.95390923E+001
+1.56441600E-006,-5.99047385E+001
+1.56442000E-006,-5.95019238E+001
+1.56442400E-006,-5.94363428E+001
+1.56442800E-006,-5.99141242E+001
+1.56443200E-006,-5.95177722E+001
+1.56443600E-006,-5.94507784E+001
+1.56444000E-006,-5.96412900E+001
+1.56444400E-006,-5.95524827E+001
+1.56444800E-006,-5.92160696E+001
+1.56445200E-006,-5.95376562E+001
+1.56445600E-006,-5.87619362E+001
+1.56446000E-006,-5.87503923E+001
+1.56446400E-006,-5.85648456E+001
+1.56446800E-006,-5.84792512E+001
+1.56447200E-006,-5.85189237E+001
+1.56447600E-006,-5.84172567E+001
+1.56448000E-006,-5.81614082E+001
+1.56448400E-006,-5.80846975E+001
+1.56448800E-006,-5.83025268E+001
+1.56449200E-006,-5.80820313E+001
+1.56449600E-006,-5.78614925E+001
+1.56450000E-006,-5.76355807E+001
+1.56450400E-006,-5.75592195E+001
+1.56450800E-006,-5.70040238E+001
+1.56451200E-006,-5.69262523E+001
+1.56451600E-006,-5.71578862E+001
+1.56452000E-006,-5.74912390E+001
+1.56452400E-006,-5.74426854E+001
+1.56452800E-006,-5.71819756E+001
+1.56453200E-006,-5.72007770E+001
+1.56453600E-006,-5.72448319E+001
+1.56454000E-006,-5.72047257E+001
+1.56454400E-006,-5.69443794E+001
+1.56454800E-006,-5.68660120E+001
+1.56455200E-006,-5.65199593E+001
+1.56455600E-006,-5.64814123E+001
+1.56456000E-006,-5.69282842E+001
+1.56456400E-006,-5.72924104E+001
+1.56456800E-006,-5.75537450E+001
+1.56457200E-006,-5.75153991E+001
+1.56457600E-006,-5.73682886E+001
+1.56458000E-006,-5.71403442E+001
+1.56458400E-006,-5.74919779E+001
+1.56458800E-006,-5.75852819E+001
+1.56459200E-006,-5.74108795E+001
+1.56459600E-006,-5.71604727E+001
+1.56460000E-006,-5.71880864E+001
+1.56460400E-006,-5.74531108E+001
+1.56460800E-006,-5.79660746E+001
+1.56461200E-006,-5.78471389E+001
+1.56461600E-006,-5.79744870E+001
+1.56462000E-006,-5.79473666E+001
+1.56462400E-006,-5.81309037E+001
+1.56462800E-006,-5.85445038E+001
+1.56463200E-006,-5.89331841E+001
+1.56463600E-006,-5.87308279E+001
+1.56464000E-006,-5.87485744E+001
+1.56464400E-006,-5.89031996E+001
+1.56464800E-006,-5.92515964E+001
+1.56465200E-006,-5.95699483E+001
+1.56465600E-006,-5.91005389E+001
+1.56466000E-006,-5.90161069E+001
+1.56466400E-006,-5.91993481E+001
+1.56466800E-006,-5.97250260E+001
+1.56467200E-006,-5.95468845E+001
+1.56467600E-006,-5.96798037E+001
+1.56468000E-006,-5.97503457E+001
+1.56468400E-006,-5.97528554E+001
+1.56468800E-006,-5.97867506E+001
+1.56469200E-006,-5.99892439E+001
+1.56469600E-006,-5.96784644E+001
+1.56470000E-006,-6.00036346E+001
+1.56470400E-006,-5.99168384E+001
+1.56470800E-006,-5.98086776E+001
+1.56471200E-006,-6.01857322E+001
+1.56471600E-006,-6.05416662E+001
+1.56472000E-006,-5.99324913E+001
+1.56472400E-006,-6.03958536E+001
+1.56472800E-006,-6.03606018E+001
+1.56473200E-006,-6.00630495E+001
+1.56473600E-006,-6.04772140E+001
+1.56474000E-006,-5.96929223E+001
+1.56474400E-006,-5.99026461E+001
+1.56474800E-006,-5.98993952E+001
+1.56475200E-006,-6.01767997E+001
+1.56475600E-006,-6.03395792E+001
+1.56476000E-006,-6.01677612E+001
+1.56476400E-006,-6.02421852E+001
+1.56476800E-006,-5.99425412E+001
+1.56477200E-006,-5.99391695E+001
+1.56477600E-006,-6.04427167E+001
+1.56478000E-006,-6.00628421E+001
+1.56478400E-006,-5.98874182E+001
+1.56478800E-006,-5.92403072E+001
+1.56479200E-006,-5.95587769E+001
+1.56479600E-006,-5.96793739E+001
+1.56480000E-006,-5.99439525E+001
+1.56480400E-006,-5.91989270E+001
+1.56480800E-006,-5.91391248E+001
+1.56481200E-006,-5.96786889E+001
+1.56481600E-006,-5.91205126E+001
+1.56482000E-006,-5.91649994E+001
+1.56482400E-006,-5.88613583E+001
+1.56482800E-006,-5.86881884E+001
+1.56483200E-006,-5.86041872E+001
+1.56483600E-006,-5.85718116E+001
+1.56484000E-006,-5.89190807E+001
+1.56484400E-006,-5.85999160E+001
+1.56484800E-006,-5.83533174E+001
+1.56485200E-006,-5.83341138E+001
+1.56485600E-006,-5.81974732E+001
+1.56486000E-006,-5.82924570E+001
+1.56486400E-006,-5.83109773E+001
+1.56486800E-006,-5.80211524E+001
+1.56487200E-006,-5.77139549E+001
+1.56487600E-006,-5.79042416E+001
+1.56488000E-006,-5.76295920E+001
+1.56488400E-006,-5.81629260E+001
+1.56488800E-006,-5.77395162E+001
+1.56489200E-006,-5.78093346E+001
+1.56489600E-006,-5.75929593E+001
+1.56490000E-006,-5.75833277E+001
+1.56490400E-006,-5.74899805E+001
+1.56490800E-006,-5.76260167E+001
+1.56491200E-006,-5.75720229E+001
+1.56491600E-006,-5.78034987E+001
+1.56492000E-006,-5.74302161E+001
+1.56492400E-006,-5.72798840E+001
+1.56492800E-006,-5.77052977E+001
+1.56493200E-006,-5.76119264E+001
+1.56493600E-006,-5.76949077E+001
+1.56494000E-006,-5.78225023E+001
+1.56494400E-006,-5.77246689E+001
+1.56494800E-006,-5.76278354E+001
+1.56495200E-006,-5.77119557E+001
+1.56495600E-006,-5.80120487E+001
+1.56496000E-006,-5.81865193E+001
+1.56496400E-006,-5.81921645E+001
+1.56496800E-006,-5.84390357E+001
+1.56497200E-006,-5.83514113E+001
+1.56497600E-006,-5.83502083E+001
+1.56498000E-006,-5.82905560E+001
+1.56498400E-006,-5.82159250E+001
+1.56498800E-006,-5.81739565E+001
+1.56499200E-006,-5.81435233E+001
+1.56499600E-006,-5.85982804E+001
+1.56500000E-006,-5.93225139E+001
+1.56500400E-006,-5.90517310E+001
+1.56500800E-006,-5.90739856E+001
+1.56501200E-006,-5.93924340E+001
+1.56501600E-006,-5.90254350E+001
+1.56502000E-006,-5.92896061E+001
+1.56502400E-006,-5.86008728E+001
+1.56502800E-006,-5.91480878E+001
+1.56503200E-006,-5.91231800E+001
+1.56503600E-006,-5.93043374E+001
+1.56504000E-006,-5.94560653E+001
+1.56504400E-006,-5.97694065E+001
+1.56504800E-006,-5.98194864E+001
+1.56505200E-006,-5.95711823E+001
+1.56505600E-006,-5.95876701E+001
+1.56506000E-006,-5.98895857E+001
+1.56506400E-006,-6.01423286E+001
+1.56506800E-006,-5.96992390E+001
+1.56507200E-006,-5.93630130E+001
+1.56507600E-006,-6.00032692E+001
+1.56508000E-006,-5.98104229E+001
+1.56508400E-006,-6.02494502E+001
+1.56508800E-006,-5.98022141E+001
+1.56509200E-006,-6.01625271E+001
+1.56509600E-006,-6.05474519E+001
+1.56510000E-006,-6.00699842E+001
+1.56510400E-006,-6.00928130E+001
+1.56510800E-006,-6.01868101E+001
+1.56511200E-006,-5.97814315E+001
+1.56511600E-006,-5.99865586E+001
+1.56512000E-006,-5.99761255E+001
+1.56512400E-006,-6.00507161E+001
+1.56512800E-006,-5.99446174E+001
+1.56513200E-006,-5.98933564E+001
+1.56513600E-006,-5.97331077E+001
+1.56514000E-006,-5.95770275E+001
+1.56514400E-006,-5.95265504E+001
+1.56514800E-006,-5.99345116E+001
+1.56515200E-006,-5.94950982E+001
+1.56515600E-006,-5.94596328E+001
+1.56516000E-006,-5.95771681E+001
+1.56516400E-006,-5.93310043E+001
+1.56516800E-006,-5.97844422E+001
+1.56517200E-006,-5.95315962E+001
+1.56517600E-006,-5.95646126E+001
+1.56518000E-006,-5.94887628E+001
+1.56518400E-006,-5.93252478E+001
+1.56518800E-006,-5.94909393E+001
+1.56519200E-006,-5.92530481E+001
+1.56519600E-006,-5.88926872E+001
+1.56520000E-006,-5.89998935E+001
+1.56520400E-006,-5.86076388E+001
+1.56520800E-006,-5.86304021E+001
+1.56521200E-006,-5.87356850E+001
+1.56521600E-006,-5.86249616E+001
+1.56522000E-006,-5.81552852E+001
+1.56522400E-006,-5.86981204E+001
+1.56522800E-006,-5.83574172E+001
+1.56523200E-006,-5.84616874E+001
+1.56523600E-006,-5.82980233E+001
+1.56524000E-006,-5.80895201E+001
+1.56524400E-006,-5.85359462E+001
+1.56524800E-006,-5.82574532E+001
+1.56525200E-006,-5.83374438E+001
+1.56525600E-006,-5.80622901E+001
+1.56526000E-006,-5.81846523E+001
+1.56526400E-006,-5.79942056E+001
+1.56526800E-006,-5.80583897E+001
+1.56527200E-006,-5.81325569E+001
+1.56527600E-006,-5.83199950E+001
+1.56528000E-006,-5.82354309E+001
+1.56528400E-006,-5.83168741E+001
+1.56528800E-006,-5.87015419E+001
+1.56529200E-006,-5.84680321E+001
+1.56529600E-006,-5.85271726E+001
+1.56530000E-006,-5.81951511E+001
+1.56530400E-006,-5.79921473E+001
+1.56530800E-006,-5.81481195E+001
+1.56531200E-006,-5.81327409E+001
+1.56531600E-006,-5.86687845E+001
+1.56532000E-006,-5.87107878E+001
+1.56532400E-006,-5.88481100E+001
+1.56532800E-006,-5.90923205E+001
+1.56533200E-006,-5.87904384E+001
+1.56533600E-006,-5.87605458E+001
+1.56534000E-006,-5.90099497E+001
+1.56534400E-006,-5.90754589E+001
+1.56534800E-006,-5.89399331E+001
+1.56535200E-006,-5.88976623E+001
+1.56535600E-006,-5.87801882E+001
+1.56536000E-006,-5.92353313E+001
+1.56536400E-006,-5.97333618E+001
+1.56536800E-006,-5.95818351E+001
+1.56537200E-006,-5.95534588E+001
+1.56537600E-006,-5.94543581E+001
+1.56538000E-006,-5.96372928E+001
+1.56538400E-006,-5.99438383E+001
+1.56538800E-006,-5.97307751E+001
+1.56539200E-006,-5.99299529E+001
+1.56539600E-006,-5.95467804E+001
+1.56540000E-006,-5.94012647E+001
+1.56540400E-006,-5.94319930E+001
+1.56540800E-006,-5.99479805E+001
+1.56541200E-006,-5.99919209E+001
+1.56541600E-006,-5.96832922E+001
+1.56542000E-006,-5.97233765E+001
+1.56542400E-006,-5.99050353E+001
+1.56542800E-006,-6.01677062E+001
+1.56543200E-006,-5.98977006E+001
+1.56543600E-006,-5.92828877E+001
+1.56544000E-006,-5.98581524E+001
+1.56544400E-006,-5.99780150E+001
+1.56544800E-006,-6.01069239E+001
+1.56545200E-006,-5.98324025E+001
+1.56545600E-006,-5.96568080E+001
+1.56546000E-006,-5.99164271E+001
+1.56546400E-006,-5.96296976E+001
+1.56546800E-006,-5.97410884E+001
+1.56547200E-006,-6.00336369E+001
+1.56547600E-006,-5.97915257E+001
+1.56548000E-006,-5.96161057E+001
+1.56548400E-006,-5.94035444E+001
+1.56548800E-006,-5.95534364E+001
+1.56549200E-006,-5.93778072E+001
+1.56549600E-006,-5.99698097E+001
+1.56550000E-006,-5.96986188E+001
+1.56550400E-006,-5.94982004E+001
+1.56550800E-006,-5.93400026E+001
+1.56551200E-006,-5.93944074E+001
+1.56551600E-006,-5.91292539E+001
+1.56552000E-006,-5.90768534E+001
+1.56552400E-006,-5.89556933E+001
+1.56552800E-006,-5.84405296E+001
+1.56553200E-006,-5.87032030E+001
+1.56553600E-006,-5.86969419E+001
+1.56554000E-006,-5.89947965E+001
+1.56554400E-006,-5.87723923E+001
+1.56554800E-006,-5.86325810E+001
+1.56555200E-006,-5.82513671E+001
+1.56555600E-006,-5.83516691E+001
+1.56556000E-006,-5.84687046E+001
+1.56556400E-006,-5.83263306E+001
+1.56556800E-006,-5.83320043E+001
+1.56557200E-006,-5.81693313E+001
+1.56557600E-006,-5.81155545E+001
+1.56558000E-006,-5.80681988E+001
+1.56558400E-006,-5.80566271E+001
+1.56558800E-006,-5.81374349E+001
+1.56559200E-006,-5.79133769E+001
+1.56559600E-006,-5.81734279E+001
+1.56560000E-006,-5.79079925E+001
+1.56560400E-006,-5.80048930E+001
+1.56560800E-006,-5.82148283E+001
+1.56561200E-006,-5.78652272E+001
+1.56561600E-006,-5.79017632E+001
+1.56562000E-006,-5.79155851E+001
+1.56562400E-006,-5.82433385E+001
+1.56562800E-006,-5.80197256E+001
+1.56563200E-006,-5.80157769E+001
+1.56563600E-006,-5.82445111E+001
+1.56564000E-006,-5.79881024E+001
+1.56564400E-006,-5.82031372E+001
+1.56564800E-006,-5.81183133E+001
+1.56565200E-006,-5.81224595E+001
+1.56565600E-006,-5.82913867E+001
+1.56566000E-006,-5.80830558E+001
+1.56566400E-006,-5.85110657E+001
+1.56566800E-006,-5.87845475E+001
+1.56567200E-006,-5.91224548E+001
+1.56567600E-006,-5.90740624E+001
+1.56568000E-006,-5.88023146E+001
+1.56568400E-006,-5.88700652E+001
